I-ONE Agent,AI 员工
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,新记录仅需必填字段。如有需要，您可以删除非必填列。
Only new private local files up to 20 MB are accepted.,仅接受大小不超过 20 MB 的新私有本地文件。
Only one {0} store is allowed.,仅允许一个 {0} 存储。
Only Options allowed for Data field are:,数据字段仅允许以下选项：
Only owner can stop the poll,仅投票所有者可以停止投票
Only Paused runs can be resumed (this run is {0}).,仅暂停的运行可以恢复（当前运行状态为 {0}）。
Only PDF files are allowed.,仅允许 PDF 文件。
Only PNG and JPG images are allowed,仅允许 PNG 和 JPG 图像
Only reports of type Report Builder can be deleted,仅报告生成器类型的报告可以删除
Only reports of type Report Builder can be edited,仅报告生成器类型的报告可以编辑
Only Send Records Updated in Last X Hours,仅发送最近 X 小时内更新的记录
Only show assignments from the current course,仅显示当前课程的作业
Only show batches that offer a certificate,仅显示提供证书的批次
Only show courses that offer a certificate,仅显示提供证书的课程
Only space admins can change access control.,仅空间管理员可以更改访问控制。
Only space managers can invite guests,仅空间管理员可以邀请客人
Only space managers can perform this action,仅空间管理员可以执行此操作
Only standard DocTypes are allowed to be customized from Customize Form.,仅标准 DocType 允许通过自定义表单进行自定义。
Only submitted calendar exchange can be retried.,仅已提交的日历交换可以重试。
Only submitted contacts exchange can be retried.,仅已提交的联系人交换可以重试。
Only submitted mail exchange can be retried.,仅已提交的邮件交换可以重试。
Only submitted unpledge requests can be approved,仅已提交的取消承诺请求可以批准
Only System Manager can destroy the blob store.,仅系统管理员可以销毁对象存储。
Only System Manager can destroy the data store.,仅系统管理员可以销毁数据存储。
Only System Manager can destroy the search index.,仅系统管理员可以销毁搜索索引。
Only System Manager can rebuild the email address indexes.,仅系统管理员可以重建电子邮件地址索引。
Only System Managers can make this file public.,仅系统管理员可以将此文件设为公开。
Only the Administrator can delete a standard DocType.,仅管理员可以删除标准 DocType。
Only the Administrator can run this action.,仅管理员可以运行此操作。
Only the assignee can complete this to-do.,仅任务指派人可以完成此待办事项。
Only the author can withdraw this change request.,仅作者可以撤回此变更请求。
Only the meeting host can promote users to co-host,仅会议主持人可以将用户提升为合作主持人
Only the meeting host or co-host can update settings,仅会议主持人或合作主持人可以更新设置
Only Workspace Manager can edit public workspaces,仅工作区管理员可以编辑公共工作区
Only ZIP files are allowed.,仅允许 ZIP 文件。
Only {0} emailed reports are allowed per user.,每个用户仅允许 {0} 个已邮件发送的报告。
Only {0} file is allowed.,仅允许 {0} 文件。
Only {0} files are supported for import.,仅支持导入 {0} 文件。
OOD Triggered,OOD 触发
OOD/外推规则,OOD/外推规则
Oops! Something went wrong.,哎呀！出了点问题。
Op type,操作类型
Op-log sequence,操作日志序列
Opaque base64-encoded Y.Doc binary update. Written and read exclusively by the collab server via the internal collab endpoints; never edited directly.,不透明的 base64 编码 Y.Doc 二进制更新。由协作服务器通过内部协作端点写入和读取；不得直接编辑。
open,打开
Open a dialog with mandatory fields to create a new record quickly. There must be at least one mandatory field to show in dialog.,打开包含必填字段的对话框以快速创建新记录。对话框中必须至少显示一个必填字段。
Open Awesomebar,打开 Awesomebar
Open Communication,打开通讯
Open console,打开控制台
Open Document,打开文档
Open Documents,打开文档列表
Open edX,打开 edX
Open Full Form,打开完整表单
Open in Builder,在构建器中打开
Open in Desk,在 Desk 中打开
Open in Drive,在 Drive 中打开
Open in New Tab,在新标签页中打开
Open Link,打开链接
"Open Mail, or Fold Stack",打开邮件或折叠堆栈
Open minute preparation,打开会议纪要
Open PDF in a new tab,在新标签页中打开 PDF
Open Reference Document,打开参考文档
Open reference document,打开参考文档
Open Resume in New Tab,在新标签页中打开简历
Open Settings,打开设置
Open to Work,开启工作
Open Translation,打开翻译
Open URL in a New Tab,在新标签页中打开 URL
Open your authentication app on your mobile phone.,在手机上打开您的身份验证应用。
OpenAI Compatible,兼容 OpenAI
OpenAI 兼容接口地址,OpenAI 兼容接口地址
OpenClaw 令牌,OpenClaw 令牌
OpenClaw 地址,OpenClaw 地址
Opened,已打开
OpenID Configuration,OpenID 配置
OpenID Configuration fetched successfully!,OpenID 配置获取成功！
Opening Additional Outstanding,期初其他应收款
Opening Charge Outstanding,期初费用应收款
Opening entry for imported loan {0},导入贷款 {0} 的期初分录
Opening Interest Outstanding,期初利息应收款
Opening Penalty Outstanding,期初罚金应收款
Opening Principal Outstanding,期初本金应收款
Opening settings...,正在打开设置...
Operated At,操作时间
Operated By,操作人
Operation,操作
Operation Checksum,操作校验和
Operation Comment,操作备注
Operation is missing 'type',操作缺少 'type'
Operation Key,操作键
Operation Row,操作行
Operation Version,操作版本
Operation {0} is added multiple times in the work order {1},工单 {1} 中多次添加了操作 {0}
Operation {0} is added multiple times in the work order {1}. Please select the operation row.,工单 {1} 中多次添加了操作 {0}。请选择操作行。
Operation-log sequence number captured by this snapshot.,此快照捕获的操作日志序列号。
Operational Report,运营报告
operations must be a non-empty list,操作必须是非空列表
Operator must be one of {0},操作员必须是 {0} 之一
Operator Reconciliation,操作员对账
Operator {0} requires exactly 2 arguments (left and right operands),操作员 {0} 需要恰好 2 个参数（左操作数和右操作数）
Ops since previous snapshot,自上次快照以来的操作数
Optimize,优化
Optimizing image...,正在优化图像...
Option {0} for field {1} is not a child table,字段 {1} 的选项 {0} 不是子表
Optional,可选
Optional additional information about the participant.,关于参与者的可选附加信息。
"Optional JSON filters selecting which documents to index, e.g. <code>{""status"": ""Resolved""}</code>","可选的 JSON 过滤器，用于选择要索引的文档，例如 <code>{""status"": ""Resolved""}</code>"
"Optional JSON object of provider-specific kwargs merged into every call (e.g. <code>{""api_version"": ""2024-02-01""}</code> for Azure). A model's own params take precedence.","可选的 JSON 对象，包含合并到每次调用中的特定于提供程序的 kwargs（例如 Azure 的 <code>{""api_version"": ""2024-02-01""}</code>）。模型自身的参数优先级更高。"
"Optional JSON object passed to the model (e.g. <code>{""temperature"": 0.2, ""max_tokens"": 1024}</code>)","传递给模型的可选 JSON 对象（例如 <code>{""temperature"": 0.2, ""max_tokens"": 1024}</code>）"
Optional plain-English summary for human reviewers.,供人工审核者阅读的可选英文摘要。
"Optional Python condition; the trigger fires only if it is truthy. A single expression (e.g. <code>doc.status == ""Open""</code>), or a multi-line script that must assign the verdict to a variable named <code>result</code>. Runs in the server-script sandbox with <code>doc</code> in scope for DocType events. Requires server scripts to be enabled in the bench configuration; without it the condition is treated as not met and the trigger does not fire.","可选的 Python 条件；仅当条件为真时触发器才会触发。可以是单个表达式（例如 <code>doc.status == ""Open""</code>），也可以是必须将结果赋值给名为 <code>result</code> 变量的多行脚本。在 DocType 事件的服务端脚本沙箱中运行，<code>doc</code> 在作用域内。需要在 bench 配置中启用服务端脚本；否则，条件被视为不满足，触发器不会触发。"
"Optional search aliases (synonyms, codes, alternate names) that improve retrieval. Used only for keyword matching, never shown to the agent as a fact.",可选的搜索别名（同义词、代码、备用名称），可改善检索效果。仅用于关键词匹配，绝不会作为事实展示给代理。
"Optional static '/segment' path or extension. URL templates, queries, fragments and redirect parameters are forbidden.",可选的静态 '/segment' 路径或扩展名。禁止使用 URL 模板、查询、片段和重定向参数。
Optional sub-folder in the repo to sync (e.g. docs). Leave empty to sync from the repo root.,仓库中要同步的可选子文件夹（例如 docs）。留空表示从仓库根目录同步。
"Optional. Override the provider's default endpoint, e.g. a proxy or self-hosted gateway.",可选。覆盖提供程序的默认端点，例如代理或自托管网关。
"Optional. Target address book to import contacts into. Example: <code>{""addressBookIds"": {""a"": True}}</code>","可选。要将联系人导入的目标通讯录。示例：<code>{""addressBookIds"": {""a"": True}}</code>"
"Optional. Target calendar to import events into. Example: <code>{""calendarIds"": {""a"": True}}</code>","可选。要将事件导入的目标日历。示例：<code>{""calendarIds"": {""a"": True}}</code>"
Optional: Always send to these ids. Each Email Address on a new row,可选：始终发送到此 ID。每个电子邮件地址占一行
Optional: The alert will be sent if this expression is true,可选：如果此表达式为真，则发送警报
Options 'Dynamic Link' type of field must point to another Link Field with options as 'DocType','动态链接' 类型的字段选项必须指向另一个选项为 'DocType' 的链接字段
Options for Rating field can range from 3 to 10,评分字段的选项范围从 3 到 10
Options for select. Each option on a new line.,选择框的选项。每个选项占一行。
Options for {0} must be set before setting the default value.,在设置默认值之前，必须为 {0} 设置选项。
Options Help,选项帮助
Options is required for field {0} of type {1},类型为 {1} 的字段 {0} 需要选项
Options not set for link field {0},链接字段 {0} 未设置选项
or,或
Or copy and paste this link:,或复制并粘贴此链接：
Oracle 任务编号,Oracle 任务编号
Order By must be a string,Order By 必须是字符串
Order Index,订单索引
Order updated,订单已更新
Org History,组织历史
Org History Heading,组织历史标题
Organization Code,组织代码
Organization Type,组织类型
Orientation,方向
Origin,来源
Original,原始
Original HTML,原始 HTML
Original Image,原始图像
Original Recipient,原始收件人
Original Security Value,原始安全值
Original user input that started the run.,启动运行的原始用户输入。
Original Value,原始值
other,其他
Other services this one depends on.,本项所依赖的其他服务。
OTP App,OTP 应用
OTP Generated at,OTP 生成于
OTP Issuer Name,OTP 发行者名称
OTP placeholder should be defined as <code>{{ otp }}</code> ,OTP 占位符应定义为 <code>{{ otp }}</code> 
OTP Secret has been reset. Re-registration will be required on next login.,OTP 密钥已重置。下次登录时需要重新注册。
OTP Secret Reset - {0},OTP 密钥重置 - {0}
OTP setup using OTP App was not completed. Please contact Administrator.,使用 OTP 应用进行的 OTP 设置未完成。请联系管理员。
OTP SMS Template,OTP 短信模板
OTP SMS Template must contain <code>{0}</code> placeholder to insert the OTP.,OTP 短信模板必须包含 <code>{0}</code> 占位符以插入 OTP。
ours,我们的
Ours Payload,我们的有效载荷
Outbound Log File Count,出站日志文件计数
Outbound Log Level,出站日志级别
Outbound Log Max File Size,出站日志最大文件大小
Outcome,结果
Outcome Hash,结果哈希
Outcome Manifest JSON,结果清单 JSON
Outcome Status,结果状态
Outdated,过时
Outer Walk-forward,外部向前验证
Outgoing (SMTP) Settings,出站 (SMTP) 设置
Outgoing email account not correct,出站电子邮件账户不正确
Outgoing Emails (Last 7 days),出站电子邮件 (最近 7 天)
Outgoing Server,出站服务器
Outgoing Settings,出站设置
Outpatient,门诊
Output File,输出文件
Output Hash,输出哈希
Output Messages Hash,输出消息哈希
Output Retention Days,输出保留天数
Output Tokens,输出令牌
Outside working hours notice,非工作时间通知
Outstanding Principal,未偿还本金
Outstanding Principal & Interest Accrued,未偿还本金及利息应计
Overdue Amount,逾期金额
Overdue Limit,逾期限额
Overdue Limit Crossed,已突破逾期限额
Overdue Limit crossed for customer {0}. Overdue amount {1} exceeds the allowed limit {2}.,客户 {0} 已突破逾期限额。逾期金额 {1} 超过了允许的限额 {2}。
Override,覆盖
Override Comment,覆盖评论
Override defaults,覆盖默认值
Override the agent's default model for this conversation. Empty falls back to the agent's model.,覆盖此对话中代理的默认模型。若为空，则回退至代理的模型。
"Oversee all users, content, and system settings",监督所有用户、内容和系统设置
Overwrite,覆盖写入
Overwrite Salary Structure Amount is disabled as the Salary Component: {0} not part of the Salary Structure: {1},由于薪资组件 {0} 不属于薪资结构 {1}，因此禁用覆盖薪资结构金额
Own Ratio,自有比率
Owner Department,所有者部门
Owner Department Snapshot,所有者部门快照
Owner Submission Checksum,所有者提交校验和
Owner Submission Key,所有者提交密钥
Owner User,所有者用户
P-256 ECDH public key for JMAP PushSubscription encryption.,用于 JMAP PushSubscription 加密的 P-256 ECDH 公钥。
Package,包
Package Import,包导入
Package Name,包名称
Package Release,包发布
Packaging exported contacts into a {0} archive.,正在将导出的联系人打包为 {0} 归档文件。
Packaging exported emails into a {0} archive.,正在将导出的电子邮件打包为 {0} 归档文件。
Packaging exported events into a {0} archive.,正在将导出的事件打包为 {0} 归档文件。
page,页面
Page Break,分页符
Page Break After Each Statement,每个报表后分页
Page Builder,页面构建器
Page Building Blocks,页面构建块
Page Data Script,页面数据脚本
Page deleted successfully,页面删除成功
Page has expired!,页面已过期！
Page Height (in mm),页面高度（毫米）
Page height and width cannot be zero,页面高度和宽度不能为零
Page HTML,页面 HTML
Page Number,页码
Page Preview,页面预览
Page Route,页面路由
Page settings,页面设置
Page Settings,页面设置
Page settings saved,页面设置已保存
Page Shortcuts,页面快捷方式
Page Size,页面尺寸
Page size: {0},页面尺寸：{0}
Page title,页面标题
Page Title,页面标题
Page to show on the website\n,要在网站上显示的页面\n
Page Width (in mm),页面宽度（毫米）
Page {0} of {1},第 {0} 页，共 {1} 页
Pages,页面
"Pages crawled for the fast, synchronous create-time prefill.",为快速、同步的创建时预填充而抓取的页面。
paid batches,已付款批次
Paid certificate,付费证书
paid certificates,已付款证书
Paid course,付费课程
paid courses,已付款课程
Paired e-value,配对 e 值
Parameter,参数
Params,参数
Params may not include reserved keys: {0}.,参数不得包含保留键：{0}。
Params must be a JSON object.,参数必须是 JSON 对象。
Params must be valid JSON.,参数必须是有效的 JSON。
Parent,父级
Parent Batch (required only for late-record supplement),父级批次（仅用于后期记录补充）
Parent Calculator Key Snapshot,父级计算器键快照
Parent Cause Code,父级原因代码
Parent DocType,父级 DocType
Parent Document Type,父级文档类型
Parent document type is required to create a dashboard chart,创建仪表板图表需要父级文档类型
Parent Document Type is required to create a number card,创建数字卡片需要父级文档类型
Parent Element Selector,父级元素选择器
Parent Field,父级字段
Parent field,父级字段
Parent Field (Tree),父级字段（树）
Parent Field must be a valid fieldname,父级字段必须是有效的字段名
Parent Formula JSON Snapshot,父级公式 JSON 快照
Parent Icon,父级图标
Parent ID,父级 ID
Parent is the name of the document to which the data will get added to.,父级是数据将添加到的文档的名称。
Parent Key,父级键
Parent Label,父级标签
Parent Mailbox Not Found,未找到父级邮箱
Parent mailbox with ID '{0}' not found in account '{1}'.,在账户 '{1}' 中未找到 ID 为 '{0}' 的父级邮箱。
Parent Missing,缺少父级
Parent Page,父级页面
Parent Revision,父级修订
Parent Sheet,父级工作表
Parent Table,父级表
Parent Wiki Document,父级 Wiki 文档
Parent-to-child or child-to-different-child grouping is not allowed.,不允许父级到子级或子级到不同子级的分组。
Parentfield not specified in {0}: {1},在 {0} 中未指定 Parentfield：{1}
"Parenttype, Parent and Parentfield are required to insert a child record",插入子记录需要 Parenttype、Parent 和 Parentfield
Pareto,帕累托
Pareto Analysis,帕累托分析
Parquet File,Parquet 文件
Part ID,部件 ID
Partial,部分
Partial Failure,部分失败
Partial Payment Mechanism,部分付款机制
Partial Settlement,部分结算
Partially Effective,部分生效
Partially Replicated,部分复制
Partially Sent,部分发送
Participant Count,参与者数量
Participant Identities deleted successfully.,参与者身份删除成功。
Participant Identity,参与者身份
Participant Identity Creation Error,参与者身份创建错误
Participant Identity Deletion Error,参与者身份删除错误
Participant Identity Deletion Error(s):<br>{0},参与者身份删除错误(s)：<br>{0}
Participant Identity Not Found,未找到参与者身份
Participant Identity Update Error,参与者身份更新错误
Participant Identity with ID {0} not found in account {1}.,在账户 {1} 中未找到 ID 为 {0} 的参与者身份。
Participant Key,参与者键
Participant Role,参与者角色
Participants,参与者
Participants Count,参与者数量
Participants JSON,参与者 JSON
Participation Role,参与角色
Particulars,明细
Partner Base Interest Rate,合作伙伴基础利率
Partner Code,合作伙伴代码
Partner Collection Percentage,合作伙伴收款比例
Partner Interest Share,合作伙伴利息份额
Partner Interest Share is mandatory,合作伙伴利息份额为必填项
Partner Loan Amount Percentage,合作伙伴贷款金额比例
Partner Loan Share Percentage,合作伙伴贷款份额比例
Partner Monthly Repayment Amount,合作伙伴月度还款金额
Partner Name,合作伙伴名称
Partner Percentage,合作伙伴比例
Partner Ratio,合作伙伴比率
Partner Repayment Schedule Type,合作伙伴还款计划类型
Partner Share,合作伙伴份额
Partner Share Allocated,已分配合作伙伴份额
"Pass a print format, or use frappe.get_print() for the default print.",传入打印格式，或使用 frappe.get_print() 使用默认打印。
Passed Count,通过数量
Passive,被动
Password cannot be filtered,密码不可过滤
Password changed successfully.,密码修改成功。
Password for administrative access to the cluster.,集群管理访问的密码。
Password for Base DN,Base DN 的密码
Password is required or select Awaiting Password,需要密码或选择等待密码
Password is required to create account.,创建账户需要密码。
Password is required.,需要密码。
Password missing in Email Account,电子邮件账户中缺少密码
Password must be at least 16 characters long.,密码长度必须至少为 16 个字符。
Password not found for {0} {1} {2},未找到 {0} {1} {2} 的密码
Password or secret value.,密码或密钥值。
Password requirements not met,未满足密码要求
Password Reset,密码重置
Password Reset Link Generation Limit,密码重置链接生成限制
Password size exceeded the maximum allowed size,密码大小超过允许的最大大小
Password size exceeded the maximum allowed size.,密码大小超过允许的最大大小。
Password to connect to the store.,连接到存储的密码。
Password updated.,密码已更新。
Passwords do not match!,密码不匹配！
Past Cashflow Report,过往现金流报告
Paste,粘贴
Paste a YouTube link,粘贴 YouTube 链接
"Paste a YouTube link, or upload a video file (MP4, WebM, or OGG) to show a preview on the course page.",粘贴 YouTube 链接，或上传视频文件（MP4、WebM 或 OGG）以在课程页面上显示预览。
Paste PEM private key,粘贴 PEM 私钥
Patch,补丁
Patch Log,补丁日志
Patch type {} not found in patches.txt,在 patches.txt 中未找到补丁类型 {}
Path,路径
Path Prefix,路径前缀
Path Suffix,路径后缀
Path to CA Certs File,CA 证书文件路径
Path to private Key File,私钥文件路径
Path to Server Certificate,服务器证书路径
Path to the cluster file for the FoundationDB cluster.,FoundationDB 集群的集群文件路径。
Path to the data directory,数据目录路径
Path {0} is not within module {1},路径 {0} 不在模块 {1} 内
Path {0} it not a valid path,路径 {0} 不是有效路径
Pathology,病理学
Patient,患者
Patient Data Exposure,患者数据暴露
Patient Data Involved,涉及患者数据
Patient Data Requires Local Model,患者数据需要本地模型
Patient Index,患者索引
Patient Key,患者密钥
Patient Name,患者名称
Patient Reference,患者参考
Pattern,模式
Patterns,模式
pause,暂停
Pause the run and ask the user to approve each call before this tool executes.,暂停运行并提示用户在每个工具执行前批准调用。
Paused runs must have at least one pending question.,暂停的运行必须至少有一个待处理的问题。
Pay Details,支付详情
Pay {0} {1},支付 {0} {1}
Payable Account is mandatory,应付账户为必填项
Payable Charges,应付费用
"Payable Charges can only be added if Charge Payment, or for Charges Waiver/Capitalization during Loan Restructure",仅在费用支付或贷款重组期间的费用豁免/资本化时才能添加应付费用
Payload,业务数据
Payload Count,有效载荷数量
Payload Hash,载荷哈希
Payload JSON,载荷 JSON
Payload Reference,载荷引用
Payment Cancelled,支付已取消
Payment Config,支付配置
Payment Confirmation,支付确认
Payment gateway deleted successfully,支付网关已成功删除
Payment Gateway Name,支付网关名称
Payment Gateways,支付网关
Payment Integration,支付集成
Payment is required to enroll in this batch.,报名此批次需要支付。
Payment Success,支付成功
Payments app required,需要 Payments 应用
Paymob Settings,Paymob 设置
PayPal Settings,PayPal 设置
Payroll date is mandatory for non-recurring type additional salaries.,非周期性额外薪资的薪资日期为必填项。
Paytm Settings,Paytm 设置
PB/VeriPB/PBLean,PB/验证PB/PB精益
PDCA Project,PDCA 项目
PDCA 项目,PDCA 项目
PDF generation failed,PDF 生成失败
PDF generation failed because of broken image links,由于图片链接损坏，PDF 生成失败
PDF Generation in Progress,PDF 生成进行中
PDF generation may not work as expected.,PDF 生成可能无法按预期工作。
PDF Generator,PDF 生成器
PDF is password protected and cannot be read.,PDF 受密码保护，无法读取。
PDF Page Height (in mm),PDF 页面高度 (毫米)
PDF Page Size,PDF 页面大小
PDF Page Width (in mm),PDF 页面宽度 (毫米)
"PDF printing via ""Raw Print"" is not supported.",不支持通过“原始打印”进行 PDF 打印。
PDF Settings,PDF 设置
Peak Memory Usage,峰值内存使用量
PEM-encoded private key generated for the GitHub App,为 GitHub App 生成的 PEM 编码私钥
PEM-encoded private key generated for the GitHub App.,为 GitHub App 生成的 PEM 编码私钥。
Penal Interest,罚息
Penal Interest Waiver,罚息豁免
Penal Treatment,罚息处理
Penalty,罚金
Penalty Accrued Account,罚息应计账户
Penalty Capitalization,罚息资本化
Penalty Charges Accounts,罚息费用账户
Penalty Charges Rate,罚息费率
Penalty Income Account is mandatory,罚息收入账户为必填项
Penalty Interest Rate (%),罚息利率 (%)
Penalty Interest Rate is levied on the pending amount on a daily basis in case of delayed repayment ,若还款延迟，罚息将按日对未结金额计收。
Penalty Overdue,罚息逾期
Penalty Receivable Account,罚息应收账户
Penalty Receivable Account is mandatory,罚息应收账户为必填项
Penalty Suspense Account,罚息暂记账户
Penalty Waiver,罚金豁免
Penalty Waiver Account,罚金豁免账户
Penalty Waiver cannot be greater than overdue penalty interest,罚金豁免金额不得大于逾期罚息
Penalty: {0},罚金：{0}
Pending Action,待处理操作
Pending Approval,待审批
Pending Archive,待归档
Pending Archive Delivery,待归档交付
Pending Archive Envelope Hash,待归档信封哈希
Pending Changes,待更改
Pending Charge Amount,待收费用
Pending Coding Review,待代码审查
Pending Confirmation,待确认
Pending Department Approval,待部门审批
Pending Emails,待处理邮件
Pending Evaluation,待评估
Pending Evidence,待证据
Pending Execution,待执行
Pending Functional Review,待功能审查
Pending Jobs,待处理作业
Pending Physician Response,待医生回复
Pending Prerequisites,待前置条件
Pending principal amount for loan {0} is {1},贷款 {0} 的待收本金金额为 {1}
Pending Principal: {0},待收本金：{0}
Pending QC Review,待质量控制审查
Pending Questions,待解决问题
Pending Rectification,待整改
Pending Settlement,待结算
Pending Test,待测试
Pending verification,待验证
Pending Verification,待验证
People,人员
people,人员
Per-request timeout in seconds for the preview prefill.,预览预填充的每次请求超时时间（秒）。
Per-request timeout in seconds.,每次请求超时时间（秒）。
Percent,百分比
Percent of CTC (%),总薪酬 (CTC) 的百分比 (%)
Percentage Discount,百分比折扣
Percentage of total tickets by channel,按渠道划分的总工单百分比
Percentage of total tickets by priority,按优先级划分的总工单百分比
Percentage of total tickets by team,按团队划分的总工单百分比
Percentage of total tickets by type,按类型划分的总工单百分比
Period End,期末
Period Start,期初
Perm Level,权限级别
Permanent,永久
Permanent Failure,永久失败
Permanently Cancel {0}?,永久取消 {0}？
Permanently Delete,永久删除
Permanently delete {0}?,永久删除 {0}？
Permanently Discard {0}?,永久丢弃 {0}？
Permanently Submit {0}?,永久提交 {0}？
Permission Error,权限错误
Permission Inspector,权限检查器
Permission Level,权限级别
Permission Levels,权限级别
Permission Log,权限日志
Permission Query,权限查询
Permission Rules,权限规则
Permission Type,权限类型
Permission Type '{0}' is reserved. Please choose another name.,权限类型 '{0}' 已被保留。请选择其他名称。
Permissions are automatically applied to Standard Reports and searches.,权限会自动应用于标准报表和搜索。
"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions.",权限在角色和文档类型（称为 DocType）上设置，通过设置读取、写入、创建、删除、提交、取消、修改、报表、导入、导出、打印、电子邮件和设置用户权限等权利来实现。
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,较高级别的权限是字段级权限。所有字段都设置了权限级别，该权限级别中定义的规则适用于该字段。如果您希望针对某些角色隐藏或使某些字段只读，这将非常有用。
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.",0 级权限是文档级权限，即它们是访问文档的主要权限。
Permissions Error,权限错误
Permissions get applied on Users based on what Roles they are assigned.,权限根据分配给用户的角色应用。
Permitted Documents For User,用户允许的文档
Permitted Roles,允许的角色
Persistent state storage for the script,脚本的持久状态存储
person,人员
Persona Survey Done,角色调查已完成
Personal Business,个人业务
Personal Data Deletion Request,个人数据删除请求
Personal Data Deletion Step,个人数据删除步骤
Personal Data Download Request,个人数据下载请求
Pharmacist,药剂师
Pharmacy,药房
Phase,阶段
PHI disclosure policy independently approved.,PHI 披露政策已独立批准。
PHI disclosure policy retired.,PHI 披露政策已退休。
PHI disclosure policy submitted for independent review.,PHI 披露政策已提交以供独立审查。
Phone Hash,电话哈希
Phone No.,电话号码
Phone Number {0} set in field {1} is not valid.,字段 {1} 中设置的电话号码 {0} 无效。
Phones,电话
Phones Found,找到的电话
Physical Query Contract Hash,物理查询合约哈希
Physical Query Contract JSON,物理查询合约 JSON
Physician,医生
Pick a record in the toolbar above to preview it.,选择上方工具栏中的记录以进行预览。
Pick Columns,选择列
Pie,饼图
Pin Scope,固定作用域
Pincode,邮政编码
Pinned At,固定于
Pinned By,固定者
Pivot,数据透视
Placement,放置
Placement and empty state,放置和空状态
plain,纯文本
Plain Text,纯文本
"Plain text (strings render as text, never HTML)",纯文本（字符串呈现为文本，从不呈现为 HTML）
Planned Start,计划开始
Plant,工厂
Platform,平台
play,播放
Play,播放
Play record must be created before creating task records.,在创建任务记录之前，必须先创建播放记录。
Playbook,操作手册
Playbook is required,需要操作手册
Playbook {0} does not exist,操作手册 {0} 不存在
Playbook {0} does not exist.,操作手册 {0} 不存在。
Please add a subject to your email,请为您的电子邮件添加主题
Please add a valid comment.,请添加有效的评论。
Please add a valid Holiday List on Appointment Booking Settings.,请在预约预订设置中添加有效的假日列表。
Please add at least one command to execute.,请至少添加一个要执行的命令。
Please add at least one recipient.,请至少添加一个收件人。
Please add at least one Serial No or Batch to save,请至少添加一个序列号或批次以保存
Please add at least one Signup Domain.,请至少添加一个注册域名。
Please add customer refund account in Loan Product,请在贷款产品中添加客户退款账户
Please adjust filters to include some data,请调整过滤器以包含一些数据
Please attach a file first.,请先附加文件。
Please attach a SCORM package before saving this chapter.,请在保存此章节之前附加 SCORM 包。
Please attach an image file to set HTML for Footer.,请附加图像文件以设置页脚的 HTML。
Please attach an image file to set HTML for Letter Head.,请附加图像文件以设置信头的 HTML。
Please attach the package,请附加包
Please Authorize OAuth for Email Account {0},请为电子邮件账户 {0} 授权 OAuth
Please Authorize OAuth for Email Account {},请为电子邮件账户 {} 授权 OAuth
Please check the filter values set for Dashboard Chart: {},请检查仪表板图表 {} 的过滤器值
"Please check the value of ""Fetch From"" set for field {0}",请检查字段 {0} 设置的“获取自”值
Please check your configuration and try again,请检查您的配置并重试
Please check your email login credentials.,请检查您的电子邮件登录凭据。
Please check your email to confirm the appointment.,请检查您的电子邮件以确认预约。
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,请检查您的注册电子邮件地址以获取操作说明。请勿关闭此窗口，因为您需要返回该窗口。
"Please click on 'Export Errored Rows', fix the errors and import again.",请点击“导出错误行”，修复错误后再次导入。
Please click on the following link and follow the instructions on the page. {0},请点击以下链接并按照页面上的说明操作。{0}
Please configure an OpenRouter API key in Settings → AI,请在“设置 → AI”中配置 OpenRouter API 密钥
Please configure the start field for this Doctype in the controller file.,请在控制器文件中为此 DocType 配置开始字段。
Please confirm your action to {0} this document.,请确认您对 {0} 此文档的操作。
Please confirm your email address by clicking the button below.,请点击下面的按钮确认您的电子邮件地址。
Please contact your administrator to request access.,请联系您的管理员以请求访问权限。
Please contact your system manager to install correct version.,请联系您的系统管理员安装正确版本。
Please copy the API secret now. You won’t be able to see it again!,请立即复制 API 密钥。您将无法再次看到它！
Please create Card first,请先创建卡片
Please create chart first,请先创建图表
Please delete the field from {0} or add the required doctype.,请从 {0} 中删除该字段或添加所需的 DocType。
Please do not change the template headings.,请勿更改模板标题。
Please duplicate this to make changes,请复制此文档以进行修改
Please Duplicate this Website Theme to customize.,请复制此网站主题以进行自定义。
Please enable atleast one Social Login Key or LDAP or Login With Email Link before disabling username/password based login.,在禁用基于用户名/密码的登录之前，请至少启用一个社交登录密钥或 LDAP 或电子邮件链接登录。
Please enable it to ensure that your rules function properly.,请启用它以确保您的规则正常运行。
Please enable pop-ups,请启用弹出窗口
Please enable pop-ups in your browser,请在您的浏览器中启用弹出窗口
Please enable the Google Meet account to use this feature.,请启用 Google Meet 账户以使用此功能。
Please enable twilio to proceed.,请启用 Twilio 以继续操作。
Please enable {} before continuing.,请在继续之前启用 {}。
"Please ensure that the billing name you enter is correct, as it will be used on your invoice.",请确保您输入的账单名称正确无误，因为它将用于您的发票。
